title,description,collected,goal,backers,time_lapse,query_date
Not one more HIV deportation!,DONATE NOW TO HEALING ACROSS THE DIVIDES' LEGAL DEFENSE FUND TO PROTECT THE FIRST 3 HIV-POSITIVE ASYLUM SEEKERS FROM DEPORTATION! ,"$6,510","$7,500",51,19days,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Support Unicef's School-in-a-Box for Children in Crisis,"Wars, conflicts and natural disasters spare no children. In fact, children suffer the most. In countries affected by emergencies, children often lose their homes, family members and friends. As their lives are upended, their sense of safety and routine are also disrupted. Without access to education, they are at risk of losing their futures.","$2,060","$5,000",18,2months,2018-02-16
Amanda - Run for Change ,"",$100,$250,1,8hours,2018-02-16
"","","","",,,2018-02-16
Be Inpsired.  I am.  Everyday.,"My heroes are are people who inspire me with their everyday strength, caring and positive drive, no matter their circumstances. People who treat everyone with equal respect. This is why I teamed with Chris Calabro for the 2018 Run for Refugees. Chris is an incredible, positive force and always works to find a way to achieve good, to be inclusive of all. This is also why I work with refugees and with my colleagues at IRIS. In refugees and the staff at IRIS I have found daily, undeniable goodness and inspiration. A force and will to do the right thing by every person. Chris will be running IN the race for our team, while my IRIS colleagues and I take charge of the race. However, let's be clear, we are doing this for the most vulnerable in the world refugees. I hope you see my inspirations in my photos and are inspired to support Chris and I as we RUN FOR REFUGEES!!",$855,"$1,000",15,24days,2018-02-16
Open Arms Movement - We Will All Be One,"",$50,"$10,000 CAD",1,3months,2018-02-16
"","","","",,,2018-02-16
Natitlan and Sametenango Experience Guatemala Challenge,"Sam and Natalia met in December 2016 at La Iguana Perdida in Santa Cruz, Lake Atitlan. They fell in love instantly with each other and the lake and a year later they are still there! They work and live at La Iguana Perdida, a hotel, hostel, restaurant/bar and diving school. La Iguana was started by Dave and Deedle, which like Sam and Nat, met each other at La Iguana 21 years ago. Their love for the lake is apparent in all the work that they do for the community, neighbouring villages and the lake itself. Sam and Natalia run a weekly class up in CECAP in Santa Cruz teaching the culinary students customer service. Niños de Guatemala reached out to Sam and Nat to be a part of their Experience Guatemala Challenge and as soon as they heard the news they immediately accepted it. Niños de Guatemala provides quality education to Guatemalan children from low income families. They have built two primary schools and a secondary school which serve a total of 500 students, their families and communities. They also provide their students with two meals a day plus medical and dental care. In addition to this, they also give their students and their families access to psychology and social work programs and host workshops on important issues. These are only a few of the things that they have done to empower and support these children, there is so much more that Niños de Guatemala have done for their students it is breathtaking. Sam and Nat are super excited to raise money and be in this once of a lifetime experience. Click the donate button to help them raise money for this worthy cause. ",$300,"$5,000",7,8days,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
One Journey Festival,"  The One Journey Festival on June 2nd, 2018 at the National Cathedral will be an all-day celebration of the courage, culture, and contributions of refugees. Organized by grassroots movement, this festival will build connection among cultures as we celebrate refugee talents, stories, and accomplishments through the shared languages of humanity: food, fashion, music, and dance. Celebrities will perform with refugee chefs, musicians, and fashion designers in the hopes of reaching a broad American audience – and encouraging them to think differently about this vibrant population. We will use Shared Studios' innovative immersive video experience to build empathy by connecting attendees with refugees living in overseas camps. At every turn, the festival will invite attendees to explore paths that lead to an understanding of our common humanity. ","$4,185","$100,000",34,2months,2018-02-16
AIFS Joins Run for Refugees,"","$1,420","$1,500",18,1month,2018-02-16
"","","","",,,2018-02-16
Show Love to Immigrants and Refugees,"Last year, John and I decided to celebrate Valentine's Day by donating the money we would have spent on the holiday to an organization that helps immigrants and refugees. With the help of our generous friends and family, we raised over $1,500 dollars for the National Immigration Law Center. ",$535,"$2,000",13,24days,2018-02-16
"","","","",,,2018-02-16
Cate and Casey care,"",$640,"$1,000",11,1month,2018-02-16
