title,description,collected,goal,backers,time_lapse,query_date
My Grade 1 Classroom,"","$2,085","$1,000",55,41months,2018-02-16
Ms. Brunelle's classroom rebuild,"","$3,660","$10,000",67,30months,2018-02-16
Help Stock Ms. Williams' Classroom!,"","$1,605",$500,29,18months,2018-02-16
Techno Classroom,"","$1,522","$3,000",114,43months,2018-02-16
Resistance School Classroom ,"",$935,"$5,000",34,33months,2018-02-16
Af-Am Lit Classroom Library,"","$3,182","$3,300",65,17months,2018-02-16
Classroom Reptile Pet Program,"",$825,"$5,000",16,42months,2018-02-16
Help Oakland Youth: classroom fire,"","$3,724","$3,900",76,18months,2018-02-16
Ms. Aguilar's Classroom Library,"",$705,"$1,000",19,30months,2018-02-16
Our Schools Outdoor Classroom,"","$1,165","$1,600",33,36months,2018-02-16
Autism - Sensory Integrated Classroom,"","$4,650","$20,000",35,47months,2018-02-16
Classroom in Need,"","$3,210","$2,500",39,30months,2018-02-16
Miss Pierce's New Classroom ,"","$1,168","$2,500",35,33months,2018-02-16
