title,description,reward,participants,start_date,end_date
Eradication of Invasive Mussels in Open Water - Stage 1,"The Bureau of Reclamation (Reclamation) is seeking innovative solutions to eradicate invasive zebra and quagga mussels from large reservoirs, lakes, and rivers in a cost effective and environmentally sound manner. Invasive mussel infestations pose significant logistical and economic challenges for local communities, recreationists, and water managers. Currently, no practical methods exist for large-scale eradication of invasive dreissenid mussel populations once they become widely established in a reservoir, lake, or river (referred to as “open water”). Solutions can be novel treatments or approaches that build upon existing treatments. This Challenge launches Stage 1 of a planned three-stage Grand Challenge that includes laboratory-scale and field-scale demonstrations.","$100,000 USD",169,Dec 14 2017,Feb 28 2018 23:59 EST
 Colorado River Basin Data Visualization Challenge," The Bureau of Reclamation (Reclamation), the Seeker for this Challenge, plays a significant role in managing the Colorado River.  Reclamation relies on a broad range of Colorado River Basin (CRB) data to support short-term water management and long-term planning, including data on historical, current, and projected weather and climate conditions, reservoir storage and releases, streamflows, and diversions.  Reclamation is currently working to make CRB data more easily accessible to both Reclamation staff and non-Reclamation users such as other Federal, State, and local agencies, water users, recreationists, researchers, and other stakeholders","$60,000 USD",254,Sep 07 2017,Under Eval
Great Lakes Invasive Carp Challenge – Stage 1,The State of Michigan has appropriated 1 million dollars for a Challenge seeking to prevent the movement of invasive carp species into Lake Michigan from the Illinois River through the Chicago Area Waterway System (CAWS). The Seeker is looking for new and novel ideas to function independently or in conjunction with those deterrents already in place to prevent carp movement into the Great Lakes or other locations.,"$200,000 USD",891,Aug 01 2017,Under Eval
 Long-Term Corrosion Protection of Existing Hydraulic Steel Structures – Stage 1, How can we protect steel structures from corrosion in water for fifty or more years without significant maintenance or replacement of the protection method?,"$75,000 USD",169,Jun 06 2017,Under Eval
Sub-Seasonal Climate Forecast Rodeo,"Skillful sub-seasonal weather and climate forecasting has proven to be particularly difficult but is of great interest to water managers. Sub-seasonal forecasting, spanning approximately 15 to 45 days in the future, is difficult because it bridges short-term forecasting, where initial conditions primarily determine upcoming weather, and long-term forecasting in which slowly varying factors such as sea surface temperatures and soil moisture become more important.",See details,250,Dec 20 2016,May 03 2018 23:59 EDT
Novel Intrinsic Biocontainment Methods,"Research using viral pathogens is vital to understanding and combating illnesses caused by such viruses and preventing future worldwide pandemics. This research is not without risks and although research facilities that handle dangerous pathogens utilize the most advanced containment equipment and procedures there is still a risk of inadvertent release of such pathogens. Intrinsic biocontainment describes various approaches to deliberately modify a pathogen, and/or a host cell, so that the pathogen does not pose a significant disease risk to humans but retains normal pathological function under specific controlled circumstances. The Seeker is soliciting ideas for novel biocontainment methods that could be used to mitigate the risks associated with research on viral pathogens.","$30,000 USD",68,Feb 08 2018,Apr 09 2018 23:59 EDT
Non Invasive Strep Throat and Nasal Pharyngeal Sampling,We are seeking non-invasive ways to collect a bacteria sample from the back of the throat and nasal cavity without causing patient discomfort or gagging. ,"$15,000 USD",118,Feb 06 2018,Mar 11 2018 23:59 EDT
Servier Challenge: Looking for Partners to Explore Novel Opportunities in Neurodegenerative Diseases,"Servier, a middle size international pharmaceutical company based in France,  is looking for partners to find and develop novel, early-stage opportunities – ranging from exploratory projects with validated targets to lead optimization – in the area of Alzheimer’s and Parkinson’s disease. The goal is to establish mid to long-term collaborations in which Servier offers scientific inputs, technological help and financial support for co-development of the innovative projects.",varies,166,Nov 20 2017,Under Eval
Non-Animal Assay to Predict Mammalian Developmental Toxicity,"The Seeker, a leading global research & development company, is seeking a partner to engage in a close partnership aimed at developing a battery of several possibly successive non-animal based assays. The goal is to accelerate the establishment of a developmental toxicity screening cascade for candidate chemicals while maintaining acceptable reliability and good predictability compared to results obtained in rodent and non-rodent models.",varies,100,Nov 02 2017,Under Eval
 Grunenthal Challenge: Restoring the Normal Function of Neurons After Intoxication by Tetrodotoxin (Fugu fish) or Similar Neurotoxins," Fugu is a well-known Asian delicacy fish, equally famous for its poisonous potential and need to be prepared by trained chefs. The neurotoxin that is present in some of the fish organs binds to the sodium channels in neurons, disrupting its function, and triggering a reaction that leads to muscle paralysis and respiratory block. ","$25,000 USD",103,Sep 27 2017,Under Eval
