title,description,collected,goal,donors,query_date
Make It Mar Vista,"Make It Mar Vista is a one-day festival, taking place Saturday, November 28, 2015. It will be a day of true community engagement along our Great Street of Venice Boulevard.","$10,909","$10,237",0,2018-02-16
Urban Patch - Park Garden,The Park Garden is a new green space on Indianapolis’ north side. It will be a permaculture garden and will provide a more naturalized and informal setting.,"$1,401","$1,326",0,2018-02-16
Sustainable Flatbush Healing Herb Garden,Our culinary and medicinal herb garden will serve as an outdoor classroom to demonstrate the benefits of herbs as both food and medicine.,"$2,802","$2,802",0,2018-02-16
Astoria Park Shore Fest - Year 4,Reimagining public urban space for people.,"$4,640","$4,567",0,2018-02-16
Help our Graduating Class Experience One Final Outdoor Adventure!,We are the 8th Grade Graduating Class at Brooklyn Urban Garden Charter School. We are holding this fundraiser to help us pay the remaining balance needed to attend Greenkill YMCA Education Center.,"$1,580","$1,580",0,2018-02-16
Farm to Table and Then Some,"NYLP provides job-training experience to Newark high school youth in environmental fields. The ""Farm to Table"" theme gives students an inside look at our current food system.","$1,680","$1,680",0,2018-02-16
Car-Free Astoria Water Walk on Shore Blvd,"The Astoria Park Alliance is programming a car-free Shore Blvd on August 1, 8, and 15. Help us open the streets to people to make programs free for all ages!",$972,$972,0,2018-02-16
P.S. 107 Sunshine Garden,The Sunshine Garden Environmental Expansion furthers students' gardening engagement to frame studies on important environmental issues.,"$1,150","$1,150",0,2018-02-16
Support Car-Free Programming at the Astoria Park Shore Fest!,"The Astoria Park Alliance is programming a car-free Shore Blvd on August 7, 14 & 21. Help us open the streets with free programming and events for all ages.","$2,165","$2,160",0,2018-02-16
Jackson Heights 78th Street Playstreet,"The 78th St. Play Street turns an under-utilized street in park-starved Jackson Heights into public open space for sports, arts and social interaction.","$3,402","$3,402",0,2018-02-16
Emerald Awards 2012,Outstanding volunteers are honored each year in November for their great work during the year.,$412,$412,0,2018-02-16
Alabama Street Tapestry Project,The iron fence that runs along the south side of Alabama will be woven with bright fabrics to turn the fence into a tapestry. The tapestry sections of fence will be interspersed with sections of sunflowers. ,"$2,680","$2,680",0,2018-02-16
